popn	code	ha	brood.yr	category	period	period2	Sw	Sadultw	prop.wild	Rw	log.Rw.ha
BearValley	MFBEA	75.6181	1957	control	control	off	26.50159155	25.45202357	1	69.81051569	1.843920846
BearValley	MFBEA	75.6181	1958	control	control	off	16.79492079	16.12977541	1	100.8423847	2.003643107
BearValley	MFBEA	75.6181	1959	control	control	off	21.00026316	20.16856957	1	63.80056972	1.804824557
BearValley	MFBEA	75.6181	1960	control	control	off	18.32894505	17.0459189	1	47.07538534	1.672793884
BearValley	MFBEA	75.6181	1961	control	control	off	31.43427301	29.86255936	1	44.47044541	1.648071479
BearValley	MFBEA	75.6181	1962	control	control	off	22.77232567	22.09591996	1	58.54800958	1.767512135
BearValley	MFBEA	75.6181	1963	control	control	off	27.89014799	27.04499199	1	35.88995038	1.554972858
BearValley	MFBEA	75.6181	1964	control	control	off	25.06013772	24.05773221	1	42.78306266	1.631271871
BearValley	MFBEA	75.6181	1965	control	control	off	12.61602712	11.60674495	1	38.86244283	1.589530096
BearValley	MFBEA	75.6181	1966	control	control	off	26.50159155	25.7065438	1	16.12376233	1.207466388
BearValley	MFBEA	75.6181	1967	control	control	off	21.64825617	19.93354281	1	17.52123123	1.243564621
BearValley	MFBEA	75.6181	1968	control	control	off	26.46191851	25.13882258	1	55.44116316	1.743832333
BearValley	MFBEA	75.6181	1969	control	control	off	17.64127901	16.93562785	1	10.89952768	1.037407679
BearValley	MFBEA	75.6181	1970	control	control	off	15.92211389	15.60367161	1	12.20305685	1.086468635
BearValley	MFBEA	75.6181	1971	control	control	off	7.035352647	6.617410906	1	3.735131342	0.572305878
BearValley	MFBEA	75.6181	1972	control	control	off	10.84396461	10.73659862	1	3.658635841	0.563319185
BearValley	MFBEA	75.6181	1973	control	control	off	19.06950849	18.88070148	1	17.05776016	1.231922004
BearValley	MFBEA	75.6181	1974	control	control	off	5.950956186	5.891446625	1	3.601415219	0.556473196
BearValley	MFBEA	75.6181	1975	control	control	off	9.614100328	9.614100328	1	0.810145309	-0.091437078
BearValley	MFBEA	75.6181	1976	control	control	off	3.425105894	3.288101658	1	1.14949531	0.060507204
BearValley	MFBEA	75.6181	1977	control	control	off	5.382309262	5.382309262	1	2.196059151	0.341644034
BearValley	MFBEA	75.6181	1978	control	control	off	9.812465534	9.812465534	1	2.015477689	0.304377995
BearValley	MFBEA	75.6181	1979	control	control	off	2.949029399	2.861434466	1	2.348971179	0.370877688
BearValley	MFBEA	75.6181	1980	control	control	off	0.581871272	0.558596421	1	3.46880691	0.540180126
BearValley	MFBEA	75.6181	1981	control	control	off	2.076222492	2.076222492	1	3.914658982	0.592693935
BearValley	MFBEA	75.6181	1982	control	control	off	1.203415584	1.155278961	1	5.532808081	0.742945606
BearValley	MFBEA	75.6181	1983	control	control	off	2.35393378	2.259776429	1	17.77539969	1.249819375
BearValley	MFBEA	75.6181	1984	control	control	off	2.049773798	1.967782846	1	3.761335773	0.575342104
BearValley	MFBEA	75.6181	1985	control	control	off	4.059874554	4.059874554	1	2.042069845	0.310070592
BearValley	MFBEA	75.6181	1986	control	control	off	3.226740688	3.09767106	1	3.426380584	0.5348356
BearValley	MFBEA	75.6181	1987	control	control	off	6.281564863	6.281564863	1	2.175522113	0.337563502
BearValley	MFBEA	75.6181	1988	control	control	off	15.34024261	15.34024261	1	10.26030555	1.011160294
BearValley	MFBEA	75.6181	1989	control	control	off	1.256312973	1.256312973	1	1.788161118	0.252406647
BearValley	MFBEA	75.6181	1990	control	control	off	2.605196375	2.579402351	1	0.324468249	-0.488827795
BearValley	MFBEA	75.6181	1991	control	control	off	2.525850292	2.475333287	1	0.334812627	-0.475198171
BearValley	MFBEA	75.6181	1992	control	control	off	2.44650421	2.422281396	1	2.652713511	0.423690349
BearValley	MFBEA	75.6181	1993	control	control	off	9.759568146	9.759568146	1	6.701779893	0.82619016
BearValley	MFBEA	75.6181	1994	control	control	off	0.449627801	0.431642689	1	0.385779914	-0.413660388
BearValley	MFBEA	75.6181	1995	control	control	off	0.2248139	0.215821344	1	1.588045124	0.200862839
BearValley	MFBEA	75.6181	1996	control	control	off	0.806685172	0.774417765	1	6.220262872	0.793808739
BearValley	MFBEA	75.6181	1997	control	control	off	3.107721564	3.107721564	1	20.1892161	1.305119457
BearValley	MFBEA	75.6181	1998	control	control	off	5.183944056	5.183944056	1	25.01123197	1.398135084
BearValley	MFBEA	75.6181	1999	control	control	off	1.071172114	0.94263146	1	1.417603198	0.151554684
BearValley	MFBEA	75.6181	2000	control	control	off	4.311137148	4.311137148	1	6.874791824	0.837259552
BearValley	MFBEA	75.6181	2001	control	control	off	9.78601684	9.78601684	1	3.055672556	0.485106814
BearValley	MFBEA	75.6181	2002	control	control	off	15.56505651	15.40783372	1	5.349692377	0.72832881
BearValley	MFBEA	75.6181	2003	control	control	off	17.39001641	17.39001641	1	3.777758817	0.577234228
BearValley	MFBEA	75.6181	2004	control	control	off	4.535951049	4.399872517	1	4.934211723	0.693217781
BearValley	MFBEA	75.6181	2005	control	control	off	4.059874554	4.059874554	1	8.721360487	0.940584238
BearValley	MFBEA	75.6181	2006	control	control	off	2.102671186	2.102671186	1	13.19760942	1.120495271
BearValley	MFBEA	75.6181	2007	control	control	off	4.125996289	4.044293392	1	NA	NA
BearValley	MFBEA	75.6181	2008	control	control	off	5.779039674	5.605668484	1	NA	NA
BearValley	MFBEA	75.6181	2009	control	control	off	6.638622235	6.11279077	1	NA	NA
BearValley	MFBEA	75.6181	2010	control	control	off	10.46045854	9.937435614	1	NA	NA
BearValley	MFBEA	75.6181	2011	control	control	off	10.01083074	9.610397511	1	NA	NA
BearValley	MFBEA	75.6181	2012	control	control	off	12.4441106	NA	1	NA	NA
BigCr	MFBIG	140.545	1957	control	control	off	7.805329254	7.493116084	1	24.03593148	1.380860957
BigCr	MFBIG	140.545	1958	control	control	off	3.294318546	3.162545804	1	21.86435801	1.33973673
BigCr	MFBIG	140.545	1959	control	control	off	3.052403145	2.930307019	1	10.09008614	1.003894874
BigCr	MFBIG	140.545	1960	control	control	off	5.379060088	5.059511964	1	6.07538698	0.783573946
BigCr	MFBIG	140.545	1961	control	control	off	13.08477712	12.29969049	1	7.785036635	0.891260661
BigCr	MFBIG	140.545	1962	control	control	off	7.741292824	6.974828188	1	6.494687099	0.812558232
BigCr	MFBIG	140.545	1963	control	control	off	5.137144687	4.726173112	1	4.204720061	0.623737087
BigCr	MFBIG	140.545	1964	control	control	off	1.771674553	1.559073606	1	5.560234485	0.745093107
BigCr	MFBIG	140.545	1965	control	control	off	2.532996549	2.406346722	1	5.604247392	0.748517298
BigCr	MFBIG	140.545	1966	control	control	off	4.269095308	4.141022448	1	2.15842731	0.334137427
BigCr	MFBIG	140.545	1967	control	control	off	2.326656943	2.070724679	1	3.344194591	0.52429154
BigCr	MFBIG	140.545	1968	control	control	off	3.123554733	2.530079334	1	9.55455779	0.980210592
BigCr	MFBIG	140.545	1969	control	control	off	2.255505354	2.142730086	1	1.844846266	0.265960182
BigCr	MFBIG	140.545	1970	control	control	off	2.362232737	2.268678965	1	3.096071665	0.490811005
BigCr	MFBIG	140.545	1971	control	control	off	1.10996478	1.033036528	1	0.873569928	-0.058702324
BigCr	MFBIG	140.545	1972	control	control	off	2.084741542	2.063894126	1	0.433912081	-0.362598258
BigCr	MFBIG	140.545	1973	control	control	off	3.32989434	3.296925089	1	4.342077662	0.637697587
BigCr	MFBIG	140.545	1974	control	control	off	0.974776762	0.974776762	1	0.524973278	-0.279862802
BigCr	MFBIG	140.545	1975	control	control	off	2.675299726	2.675299726	1	0.160242227	-0.795223029
BigCr	MFBIG	140.545	1976	control	control	off	0.761321997	0.708557106	1	0.380073943	-0.420131904
BigCr	MFBIG	140.545	1977	control	control	off	0.313066989	0.313066989	1	0.665255528	-0.177011508
BigCr	MFBIG	140.545	1978	control	control	off	3.294318546	3.294318546	1	0.664680164	-0.177387282
BigCr	MFBIG	140.545	1979	control	control	off	0.519406596	0.503978677	1	1.297841651	0.113221708
BigCr	MFBIG	140.545	1980	control	control	off	0.142303177	0.13244058	1	2.204055476	0.343222522
BigCr	MFBIG	140.545	1981	control	control	off	0.761321997	0.761321997	1	3.144136778	0.497501431
BigCr	MFBIG	140.545	1982	control	control	off	0.241915401	0.225148987	1	1.343914296	0.128371574
BigCr	MFBIG	140.545	1983	control	control	off	0.939200968	0.874107831	1	3.5220396	0.546794235
BigCr	MFBIG	140.545	1984	control	control	off	1.458607563	1.35751595	1	1.90484238	0.279859045
BigCr	MFBIG	140.545	1985	control	control	off	2.426269166	2.426269166	1	0.857966547	-0.066529646
BigCr	MFBIG	140.545	1986	control	control	off	2.326656943	2.326656943	1	0.766173882	-0.115672657
BigCr	MFBIG	140.545	1987	control	control	off	1.252267957	1.239745277	1	0.374587232	-0.42644703
BigCr	MFBIG	140.545	1988	control	control	off	3.507773311	3.507773311	1	2.191821543	0.340805191
BigCr	MFBIG	140.545	1989	control	control	off	1.038813192	1.038813192	1	0.443782858	-0.352829478
BigCr	MFBIG	140.545	1990	control	control	off	0.761321997	0.753784155	1	0.125039925	-0.902951294
BigCr	MFBIG	140.545	1991	control	control	off	0.448255007	0.439289907	1	0.047811346	-1.320469028
BigCr	MFBIG	140.545	1992	control	control	off	0.697285567	0.690312711	1	0.629167481	-0.201233732
BigCr	MFBIG	140.545	1993	control	control	off	1.942438365	1.903974239	1	1.131331084	0.05358972
BigCr	MFBIG	140.545	1994	control	control	off	0.106727383	0.099330435	1	0.133854872	-0.873365817
BigCr	MFBIG	140.545	1995	control	control	off	0.071151588	0.06622029	1	0.312358943	-0.505346056
BigCr	MFBIG	140.545	1996	control	control	off	0.035575794	0.034166852	1	0.658557552	-0.181406265
BigCr	MFBIG	140.545	1997	control	control	off	1.145540574	1.088263545	1	8.112086902	0.909132594
BigCr	MFBIG	140.545	1998	control	control	off	0.519406596	0.519406596	1	4.725069611	0.674408211
BigCr	MFBIG	140.545	1999	control	control	off	0.348642783	0.306805649	1	1.012953772	0.005589626
BigCr	MFBIG	140.545	2000	control	control	off	0.448255007	0.416877157	1	1.749374983	0.242882911
BigCr	MFBIG	140.545	2001	control	control	off	4.859653492	4.762460422	1	0.404446325	-0.393139107
BigCr	MFBIG	140.545	2002	control	control	off	3.920452524	3.920452524	1	0.867165443	-0.061898037
BigCr	MFBIG	140.545	2003	control	control	off	3.123554733	3.061083639	1	0.910145516	-0.040889166
BigCr	MFBIG	140.545	2004	control	control	off	1.736098758	1.736098758	1	1.512918522	0.17981554
BigCr	MFBIG	140.545	2005	control	control	off	0.483830802	0.46945959	1	2.966211712	0.472202145
BigCr	MFBIG	140.545	2006	control	control	off	0.313066989	0.313066989	1	2.718563877	0.434339542
BigCr	MFBIG	140.545	2007	control	control	off	0.697285567	0.669394144	1	NA	NA
BigCr	MFBIG	140.545	2008	control	control	off	1.458607563	1.400840927	1	NA	NA
BigCr	MFBIG	140.545	2009	control	control	off	3.194706322	2.907182753	1	NA	NA
BigCr	MFBIG	140.545	2010	control	control	off	1.593795581	1.51489481	1	NA	NA
BigCr	MFBIG	140.545	2011	control	control	off	2.120317336	1.847405204	1	NA	NA
BigCr	MFBIG	140.545	2012	control	control	off	2.739336156	NA	1	NA	NA
Camas	MFCAM	63.4086	1960	control	control	off	5.535526727	5.424816192	1	10.69981044	1.029376084
Camas	MFCAM	63.4086	1961	control	control	off	7.01797548	6.87761597	1	8.169727456	0.912207569
Camas	MFCAM	63.4086	1962	control	control	off	6.119043789	5.996662913	1	12.04038622	1.080640418
Camas	MFCAM	63.4086	1963	control	control	off	7.459555959	7.31036484	1	14.50013439	1.161372027
Camas	MFCAM	63.4086	1964	control	control	off	8.736985204	8.5622455	1	8.938710887	0.951274891
Camas	MFCAM	63.4086	1965	control	control	off	1.088180468	1.066416858	1	4.775788107	0.67904505
Camas	MFCAM	63.4086	1966	control	control	off	5.819399892	5.703011894	1	5.198017562	0.715837742
Camas	MFCAM	63.4086	1967	control	control	off	5.377819413	5.270263024	1	9.591331974	0.981878923
Camas	MFCAM	63.4086	1968	control	control	off	8.090385216	7.928577512	1	25.41826775	1.40514595
Camas	MFCAM	63.4086	1969	control	control	off	2.476004832	2.426484736	1	9.156813965	0.961744391
Camas	MFCAM	63.4086	1970	control	control	off	2.412921906	2.364663468	1	8.585962494	0.933788987
Camas	MFCAM	63.4086	1971	control	control	off	3.406477986	3.338348426	1	1.518391968	0.181383898
Camas	MFCAM	63.4086	1972	control	control	off	6.071731595	6.011014279	1	1.779135638	0.250209059
Camas	MFCAM	63.4086	1973	control	control	off	8.68967301	8.603636643	1	9.226306765	0.96502789
Camas	MFCAM	63.4086	1974	control	control	off	6.513312074	6.448823836	1	1.105672453	0.04362649
Camas	MFCAM	63.4086	1975	control	control	off	4.841614544	4.841614544	1	0.431704053	-0.364813874
Camas	MFCAM	63.4086	1976	control	control	off	1.040868273	0.999233542	1	1.436819078	0.157402086
Camas	MFCAM	63.4086	1977	control	control	off	3.201458477	3.201458477	1	2.988017972	0.475383205
Camas	MFCAM	63.4086	1978	control	control	off	5.030863321	5.030863321	1	1.410007371	0.149221383
Camas	MFCAM	63.4086	1979	control	control	off	0.646599988	0.627394048	1	0.762524685	-0.117746093
Camas	MFCAM	63.4086	1980	control	control	off	0.536204868	0.514756673	1	0.820098383	-0.086134044
Camas	MFCAM	63.4086	1981	control	control	off	3.0122097	3.0122097	1	0.841173623	-0.075114354
Camas	MFCAM	63.4086	1982	control	control	off	1.435136559	1.377731096	1	1.166009062	0.066701926
Camas	MFCAM	63.4086	1983	control	control	off	1.277429245	1.226332075	1	NA	NA
Camas	MFCAM	63.4086	1984	control	control	off	0.299643897	0.287658141	1	NA	NA
Camas	MFCAM	63.4086	1985	control	control	off	1.040868273	1.040868273	1	NA	NA
Camas	MFCAM	63.4086	1986	control	control	off	0.536204868	0.519956236	1	0.5099782	-0.292448388
Camas	MFCAM	63.4086	1987	control	control	off	1.577073141	1.56130241	1	0.30717586	-0.512612917
Camas	MFCAM	63.4086	1988	control	control	off	NA	NA	1	1.391100545	0.143358521
Camas	MFCAM	63.4086	1989	control	control	off	1.435136559	1.435136559	1	0.275990318	-0.559106153
Camas	MFCAM	63.4086	1990	control	control	off	0.141936583	0.14053127	1	0.037849755	-1.421936923
Camas	MFCAM	63.4086	1991	control	control	off	0.536204868	0.525480771	1	0.019070833	-1.719630337
Camas	MFCAM	63.4086	1992	control	control	off	0.346956091	0.340085673	1	0.254488895	-0.594331163
Camas	MFCAM	63.4086	1993	control	control	off	1.277429245	1.277429245	1	0.951488444	-0.021596482
Camas	MFCAM	63.4086	1994	control	control	off	0.094624388	0.090839413	1	0.073080143	-1.13620061
Camas	MFCAM	63.4086	1995	control	control	off	0	0	1	0.139052972	-0.856819726
Camas	MFCAM	63.4086	1996	control	control	off	0.047312194	0.045438444	1	0.385753924	-0.413689648
