year,PDO
1960,0.058
1961,-0.818
1962,-1.158
1963,-0.686
1964,-0.77
1965,-0.314
1966,-0.459
1967,-0.734
1968,-0.403
1969,-0.098
1970,-0.398
1971,-1.291
1972,-0.922
1973,-0.804
1974,-0.337
1975,-1.102
1976,0.008
1977,0.231
1978,0.236
1979,0.335
1980,0.603
1981,0.918
1982,0.114
1983,1.648
1984,0.838
1985,0.449
1986,1.239
1987,1.821
1988,0.532
1989,-0.179
1990,-0.356
1991,-0.419
1992,0.928
1993,1.417
1994,-0.152
1995,0.643
1996,0.641
1997,1.461
1998,0.246
1999,-1.063
2000,-0.59
2001,-0.563
2002,0.221
2003,0.969
2004,0.345
2005,0.375
2006,0.191
2007,-0.196
2008,-1.293
